sWeaponTypeTwoHandRifleEnergy	Energy Rifle
sTargetTypeCrown	Talk
sWeaponTypeTwoHandRifle	Rifle
sLeftLegDamagedIcon	TypeIcons\hot_keys_icon_unarmedweapons.dds
sChin	Chin
sActionPointsStand	Stand
sActionPointsToggleWeaponDrawn	Toggle Weapon Drawn
sTargetTypeRepair	Repair
sPS3RThumbX	the Right Stick Left / Right
sPS3RThumbY	the Right Stick Up / Down
sPS3SelectBtn	Select
sXBLTrigger	\general_button_lt.dds\
sKBAt	@
sKBNumPadEquals	Pad =
sKBLMenu	L-Alt
sFaceheavy	Face heavy/light
sKBPrevtrack	Prev
sMagicEffectResisted	effect resisted
sNPCModelMale	Characters\_Male\Skeleton.NIF
sKBPower	Power
sKBScroll	Scroll
sLockLevelText	Lock Level
sDone	Done
sPS3LThumbX	the Left Stick Left / Right
sXBLThumbLeft	the Left Stick Left
sXBABtn	\general_button_a.dds\
sUActnGrab	Grab
sLoadThisGame	Load this game?
sMagicCastConstant	Apparel
sPS3LThumbY	the Left Stick Up / Down
sFaceforehead	Face forehead/sellion/nose ratio
sKarmaMajorGained	You've gained Karma!
sMagicEffectItemPointsPlural	pts
sMonthApril	April
sRightLegDamagedMessage	Your right leg is now crippled.
sExitGameAffirm	Exit Game
sObjectInUse	This object is already in use by someone else.
sStatsHP	HP
sNo	No
sMakeActiveQuest	Make Active Quest
sDayTuesday	Tuesday
sStatsCondition	Condition
sMakeDefaults	Make these your default settings?
sXBLThumbUp	the Left Stick Up
sKnownEffects	Known Effects
sStatsEffects	Effects
sWeaponTypeHandToHandMelee	Melee - Hand to Hand
sKBWebForward	Web ->
sNoSleepTakingHealthDamage	You cannot sleep while taking health damage.
sJunk	Junk
sSeasonSummer	Summer
sDayMonday	Monday
sEyelidspale	Eyelids pale/red
sShowLocation	Show Location
sVampireFeedQuestion	What would you like to do with this innocent townsperson?
sRangeText	Range
sAlignVeryGood	Very Good
sEyebrowslower	Eyebrows lower light/dark
sSkin	Skin
sWeaponTypeOneHandMine	Mine
sUActnJump	Jump
sOpenWithKey	Unlocked with %s.
sChinpronounced	Chin pronounced/recessed
sXBStartBtn	START
sKBPause	Pause
sKBUnlabeled	Unlabeled
sWeaponTypeOneHandPistolEnergy	Energy Pistol
sXBRTrigger	\general_button_rt.dds\
sUActnMenumode	Pip-Boy
sSpeechChallengeFailure	[FAILED]
sKBCapital	Caps
sNoLockPick	You don't have any bobbypins.
sInventoryEquip	Equip
sSkillLevelMaster	Master
sNoWaitWhileAlarmSounding	You are unable to wait here. An alarm is sounding with your name on it.
sBrow	Brow
sMagicTypeWortcraft	Wortcraft
sXBRThumbDown	the Right Stick Down
sRSMShapeOption30	Slope High/Low
sGender	Gender
sArmorWeightHeavy	Heavy
sHackIneligible	A %s skill of %d is required to hack this terminal.
sKBPlayPause	Play
sRadiationDecrease	Your radiation level has decreased
sEyessmall	Eyes small/large
sVDSGPlate	VDSG Plate
sRemoteActivation	This object is activated from somewhere else.
sSkillLevelNovice	Novice
sButtonLocked	That button cannot be remapped
sRadioVolume	Radio
sRSMShapeOption32	Drawn/Pursed
sKBBack	Backspace
sRSMShapeOption33	Happy/Sad
sRSMCustom	Custom
sHolidayFirstPlanting	First Planting
sCanNotTrainAnymore	You have reached your training limit for your current level.
sNoWaitUnderWater	You cannot wait while under water.
sRSMShapeOption35	Deflated/Inflated
sShape	Shape
sXBRThumbX	the Right Stick Left / Right
sKBLControl	L-Ctrl
sDeviceJoystick	Joystick
sAlignGood	Good
sViewDistance	View Distance
sRSMShapeOption36	Large/Small
sSpecNameStealth	Stealth
sXBRThumbY	the Right Stick Up / Down
sRSMShapeOption37	Puckered/Retracted
sInventoryUse	Use
sHUDRads	Rads
sMagicRangeStrike	Strike
sHolidayNorthWindsPrayer	North Wind's Prayer
sRSMShapeOption38	Convex/Concave
sRSMShapeOption39	Tilt Up/Down
sHairColor0	Bleached
sSexMale	male
sWeaponTypeOneHandPistol	Pistol
sOpenedContainer	Opened the container with a key.
sCantEquipPowerArmor	Power armor training is required to equip this item.
sStatsGeneral	General
sRSMFace	Face
sHairColor1	Brown
sHolidaySouthWindsPrayer	South Wind's Prayer
sXBLThumbX	the Left Stick Left / Right
sNoWaitTrespass	You cannot wait while trespassing.
sRSMBlueAbbrev	B:
sHairColor2	Chocolate
sSneakDetected	[DETECTED]
sAccept	Accept
sXBLThumbY	the Left Stick Up / Down
sKBDecimal	Pad .
sNoFastTravelHostileActorsNear	You cannot fast travel when enemies are nearby.
sSaveNotAvailable	No valid save game found.
sHairColor3	Platinum
sForehead	Forehead
sEyes	Eyes
sHairColor4	Cornsilk
sJournalTitleActive	Active Quest
sInventoryDrop	Drop
sLevelProgress	Level Progress
sAutosaveAbbrev	AUTO
sHairColor5	Suede
sHair	Hair
sImpactParticleMetalDefault	Effects\ImpactBallisticMetal01.nif
sAnimationCanNotUnequip	You cannot change weapons while attacking.
sButton	Button
sHairColor6	Pecan
sActionPointsReload	Reload
sKBCalculator	Calc
sKBAdd	Pad +
sHairColor7	Auburn
sPS3DPadRight	D-Pad Right
sKBNext	PgDn
sHour	hour
sHairColor8	Ginger
sInventoryUnequip	Unequip
sName	Name
sOk	Ok
sUActnHotKey1	Hotkey 1
sConfirmLoad	Load this game?
sSaveOnRest	Save On Rest
sHairColor9	Honey
sTerminalServerText10	-Server 10-
sPS3LThumbLeft	the Left Stick Left
sUActnHotKey2	Hotkey 2
sKarmicTitleEvil01	Vault Delinquent
sUActnHotKey3	Hotkey 3
sNoFastTravelAlarm	You cannot fast travel while guards are pursuing you.
sContinue	Continue
sOn	ON
sActivateCreatureCalmed	The creature is calmed and cannot respond.
sKarmicTitleEvil02	Vault Outlaw
sUActnHotKey4	Hotkey 4
sKarmicTitleEvil03	Opportunist
sKBRShift	R-Shift
sUActnHotKey5	Hotkey 5
sFootstepsVolume	Footstep
sRSMPreset	Preset:
sBeardflushed	Beard flushed/pale
sKarmicTitleEvil04	Plunderer
sUActnHotKey6	Hotkey 6
sHackingHeader	ROBCO INDUSTRIES (TM) TERMLINK PROTOCOL
sMagicCastInsufficientMagicka	You don't have enough Magicka
sKarmicTitleEvil05	Fat Cat
sUActnHotKey7	Hotkey 7
sLoadingArea	
sCauterize	Cauterizing tool
sMagicCastMultipleBoundEffects	You already have that kind of Bound Item
sKarmicTitleEvil06	Marauder
sUActnHotKey8	Hotkey 8
sEnableHelp	Enable Help
sKarmicTitleEvil07	Pirate of the Wastes
sWeaponTypeTwoHandHandle	Handle Weapon
sJoyLeft	Left
sLockpickingTitle	LOCKPICKING
sGiveAway	Give away
sKarmicTitleEvil08	Reaver
sRSMRandomize	Randomize
sChinwide	Chin wide/thin
sCursorFilename	Interface\Icons\Misc\cursor.dds
sSexFemalePossessive	her
sKarmicTitleEvil09	Urban Invader
sStatsRadResist	RAD RESIST
sEyestogether	Eyes together/apart
sActorFade	Actor Fade
sMagicEffectItemDamage	Damage
sLostController	The Xbox 360 Controller has been disconnected. Click OK to use the Keyboard/Mouse, or reconnect the Xbox 360 Controller and press the A Button.
sMagicEffectItemIn	in
sKBLShift	L-Shift
sSteal	Steal
sDisableXBoxController	360 Controller
sNosebridgeshallow	Nose bridge shallow/deep
sRSMShapeOption40	Underbite/Overbite
sRSMFacialHair	Facial Hair
sForeheadtall	Forehead tall/short
sPS3RThumbDown	the Right Stick Down
sConfirmSave	Overwrite this game?
sRSMShapeOption41	Mouth-Chin Dist.
sLeftArmDamagedMessage	Your left arm is now crippled.
sMenuDisplayDayString	Day
sRSMShapeOption42	Bridge Depth
sBloodSplatterColor01OPTFilename	Textures\Gore\ScreenBloodColor01OPT.dds
sMouseRightButton	Mouse2
sSaveGameDeviceError	There was an error accessing the device.  Please try again.
sHeavyArmorSink	Your heavy armor is causing you to sink.
sRSMShapeOption43	Bridge Length
sSexMalePossessive	his
sSeasonFall	Fall
sHackingToleranceReset1	Allowance
sMonthMarch	March
sXBRThumb	\general_button_rs.dds\
sXBBackBtn	Back
sRSMShapeOption45	Flat/Pointed
sHackingToleranceReset2	replenished.
sVampireTalk	Talk
sDefaults	Defaults
sRSMShapeOption46	Nostril Tilt
sNPCModelBeast	Characters\_Male\SkeletonBeast.NIF
sStatsSpecial	S.P.E.C.I.A.L.
sRSMShapeOption47	Nostril Size
sInventoryCondition	CND
sKBComma	,
sPoisonNoWeaponMessage	You must first equip a weapon to poison it.
sRSMShapeOption48	Nostrils Wide/Thin
sVDSGManual	VDSG MANUAL
sLockpickSkillTooLow	You need a lockpick skill of %d to pick this lock.
sNosesellionlower	Nose sellion lower shallow/deep
sMouthtilt	Mouth tilt up/down
sKBDelete	Delete
sUActnRestmenu	Wait
sMenuDisplayXBoxSaveMessage	Saving content. Please don't turn off your console.
sStatsLVLAbbrev	LVL
sStatsStatus	Status
sPS3RThumbRight	the Right Stick Right
sFacethin	Face thin/wide
sMagicCastRangedUnderwater	You cannot cast ranged spells underwater
sNoWaitInJail	You must sleep in a jail bed in order to serve your sentence.
sStatsAddicted	ADDICT
sHolidayWarriorsFestival	Warrior's Festival
sXBLThumb	\general_button_ls.dds\
sMain	Main
sTargetTypeRead	Read
sKBStop	Stop
sKBNumpad0	Pad 0
sKBNumpad1	Pad 1
sNoItemsToRepair	No items to repair
sLockLevelNameHard	Hard
sKBNumpad2	Pad 2
sVideo	Video
sRightLegDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sKBNumpad3	Pad 3
sKarmicTitleEvil10	Ne'er-do-well
sKBNumpad4	Pad 4
sConfirmQuit	Are you sure you want to quit?
sKarmicTitleEvil11	Capitol Crimelord
sKBNumpad5	Pad 5
sHUDUseKey	Use Key
sBloodSplatterFlare01Filename	Textures\Effects\FXBloodFlare.dds
sKarmicTitleEvil12	Defiler
sKBNumpad6	Pad 6
sKBEsc	Esc
sNormal	Normal
sNoSleepHostileActorsNear	You cannot sleep when enemies are nearby.
sKarmicTitleEvil13	Vault Boogeyman
sTargetTypeSleep	Sleep
sWeaponTypeTwoHandMelee	Melee - Two Hand
sMouseButton3	Button 3
sKBNumpad7	Pad 7
sVatsSelect	Select
sRSMGreenAbbrev	G:
sDisableHelp	Disable Help
sKarmaMinorGained	You've gained Karma!
sFloraSuccessMessage	You successfully harvest %s.
sKarmicTitleEvil14	Harbinger of War
sMouseButton4	Button 4
sKBNumpad8	Pad 8
sHelp	Help
sInventoryDamageResistance	DR
sHackingCorrect	correct
sKarmicTitleEvil15	Urban Superstition
sMouseButton5	Button 5
sKBNumpad9	Pad 9
sLoadSavedGame	Load Saved Game
sCheekboneslow	Cheekbones low/high
sKarmicTitleEvil16	Villain of the Wastes
sMouseButton6	Button 6
sKBMyComputer	My Comp
sHeavyArmorNoJump	Your heavy armor prevents you from jumping.
sPipboyColor	Pip-Boy Color
sNone	None
sKarmicTitleEvil17	Fiend
sMouseButton7	Button 7
sCantSaveNow	You cannot save right now.
sMenuDisplayPlayTime	Play Time
sKarmicTitleEvil18	Wasteland Destroyer
sCrimeTypeTrespass	Trespass
sMouseButton8	Button 8
sKBRWin	RWin
sTune	Tune
sKarmicTitleEvil19	Evil Incarnate
sBlue	Blue
sTargetTypeUnequip	Unequip
sJoyUpRight	Up-Rt
sKBBackslash	\
sUActnQuickload	Quickload
sMerchantNoGold	Merchant doesn't have enough caps.
sSneakAttackCriticalStrikeIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sNoSleepCombat	You cannot sleep while in combat.
sMagicTypePotion	Potion
sMonthJuly	July
sPickpocket	Pickpocket
sNoTalkUnConscious	is unconscious.
sSkillLevelApprentice	Apprentice
sChintall	Chin tall/short
sKarmicTitleGood01	Vault Guardian
sCrimeTypeMurder	Murder
sRadioSignalLost	%s signal lost.
sNoJumpWarning	You can not drop objects while in the air.
sRSMShapeOption50	Sellion Height
sKarmicTitleGood02	Vault Martyr
sKBVolumeDown	Vol -
sForceLock	Force Lock
sRSMShapeOption51	Sellion Depth
sBrowRidgeInner	Brow Ridge Inner up/down
sTakeAll	Take All
sKarmicTitleGood03	Sentinel
sKBNextTrack	Next
sNoWaitInCombat	You cannot wait while in combat.
sHackingWarning	!!! WARNING: LOCKOUT IMMINENT !!!
sKarmicTitleGood04	Defender
sRSMShapeOption53	Sellion Width
sKarmicTitleGood05	Dignitary
sNoLockPickIfCrimeAlert	You can't pick a lock while being pursued by guards.
sRSMShapeOption54	Short/Long
sEyesdark	Eyes dark brown/light blue
sKarmicTitleGood06	Peacekeeper
sStimpak	Stimpak
sRSMShapeOption55	Tilt Down/Up
sNosenostrilswide	Nose nostrils wide/thin
sMouthlipslarge	Mouth lips large/small
sKarmicTitleGood07	Ranger of the Wastes
sRSMEyeColor	Eye Color
sKarmicTitleGood08	Protector
sKarmicTitleGood09	Urban Avenger
sYesText	Yes
sHeadDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sSaveSuccessful	Save successful.
sTextureSize	Texture Size
sLow	Low
sXBXBtn	\general_button_x.dds\
sStatsRADAbbrev	RAD
sBloodSplatterAlpha01OPTFilename	Textures\Gore\ScreenBloodAlpha01OPT.dds
sDelete	Delete
sImpossibleLock	This lock cannot be picked. It requires a key to open.
sStatsAlcohol	Alcohol
sMainMenu	Main Menu
sMagicEffectItemDrain	Drain
sTargetTypeRecharge	Recharge
sUActnQuicksave	Quicksave
sMagnitudeIsLevelText	Target Level
sVatsAiming	Aiming
sValue	Value
sMagicEffectItemFortify	Fortify
sKBF1	F1
sKBMultiply	Pad *
sPick	Pick
sKBF2	F2
sPCMenuHintRMB	RMB)
sKBF3	F3
sCheekbonesshallow	Cheekbones shallow/pronounced
sKBWebBack	Web <-
sKBF4	F4
sSurgery	Surgery
sStatsCNDAbbrev	CND
sSkillsTitle	SKILLS:  %d/%d Selected
sPS3L1	\general_button_lb.dds\
sKBF5	F5
sExplosionSplashParticles	Effects\ExplosionSplash.NIF
sPS3L2	\general_button_lt.dds\
sXBDPadX	D-Pad Left / Right
sKBF6	F6
sPressStart	Press [START]
sAMTime	AM
sEyesocketsbruised	Eye sockets bruised/bright
sKarmicTitleEvil20	Scourge of Humanity
sPS3L3	\general_button_ls.dds\
sXBDPadY	D-Pad Up / Down
sKBF7	F7
sHolidayMerchantsFestival	Merchant's Festival
sKBApps	Apps
sKBF8	F8
sKBF9	F9
sRewardXP	Experience Points Earned
sInventoryRepair	Repair
sInventoryDamage	DAM
sPS3DPadLeft	D-Pad Left
sChemsWornOff	%s has worn off.
sTargetTypeVampire	Feed/Talk
sKBPeriod	.
sKB0	0
sKB1	1
sKB2	2
sPlayTime	Play Time
sSexMalePronoun	he
sActionPointsThrow	Throw
sKB3	3
sEyesTex	Eye shades
sKB4	4
sCheekblush	Cheek blush light/red
sKB5	5
sRewardXPIcon	Interface\Shared\Messages\glow_XP_Gain.dds
sNoDeviceSelected	You have not selected a storage device.  You will need to select one before you can save.  Until then, Autosave is disabled.
sActionPointsCrouch	Crouch
sKB6	6
sKeyLocked	That key cannot be remapped
sQuestsTabText	Quests
sMagicSchoolAlteration	Alteration
sKB7	7
sStealHorse	Do you want to steal this horse?
sArmorWeightLight	Light
sKB8	8
sStatsRadiation	Radiation
sMouthhigh	Mouth high/low
sHackingIntro01	WELCOME TO ROBCO INDUSTRIES (TM) TERMLINK
sKarmicTitleGood10	Exemplar
sKBOEM102	<
sKB9	9
sBrowRidgeOuter	Brow Ridge Outer up/down
sInventoryEffects	EFFECTS
sKarmaMinorGainedImage	Interface\Icons\PipboyImages_small\Karma icons\glow_karma_good.dds
sHackingIntro02	SET TERMINAL/INQUIRE
sKarmicTitleGood11	Capitol Crusader
sCantEquipGeneric	You cannot equip this item.
sStatsBody	Body
sStatsPerks	Perks
sComplexion	Complexion
sWeight	Weight
sHackingHeader2	ENTER PASSWORD NOW
sHackingIntro03	RIT-V300
sLarge	Large
sKarmicTitleGood12	Paladin
sHackingHeader3	ATTEMPT(S) LEFT:
sHackingIntro04	SET FILE/PROTECTION=OWNER:RWED ACCOUNTS.F
sKarmicTitleGood13	Vault Legend
sPoisonAlreadyPoisonedMessage	The current weapon is already poisoned.
sCheeksconcave	Cheeks concave/convex
sMapMarkerAdded	Map marker added.
sHackingIntro05	SET HALT RESTART/MAINT
sKarmicTitleGood14	Ambassador of Peace
sMenuDisplaySave	Save
sRSMHairColor	Hair Color
sHackingIntro06	Initializing Robco Industries(TM) MF Boot Agent v2.3.0
sKarmicTitleGood15	Urban Legend
sRightArmDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sLeftArmDamagedIcon	TypeIcons\hot_keys_icon_unarmedweapons.dds
sHackingIntro07	RETROS BIOS
sKarmicTitleGood16	Hero of the Wastes
sYesRestart	Yes, restart the game.
sConfirmNew	Start a new game?
sHackingIntro08	RBIOS-4.02.08.00 52EE5.E7.E8
sKarmicTitleGood17	Paragon
sHackingIntro09	Copyright 2201-2203 Robco Ind.
sKarmicTitleGood18	Wasteland Savior
sLockLevelNameVeryHard	Very Hard
sMagicTypeAddiction	Addiction
sKarmicTitleGood19	Saint
sSaveGameIsCorrupt	The save game is corrupt.  Returning to game.
sMagicTypePower	Power
sSkillLevelJourneyman	Journeyman
sEyebrowslow	Eyebrows low/high
sGreen	Green
sEyeswhites	Eyes whites dim/bright
sFace	Face
sMonthJune	June
sXBDPadRight	D-Pad Right
sNoSitOnOwnedFurniture	You cannot sit on owned furniture.
sSelect	Select
sDefaultCellName	Wilderness
sJoyUp	Up
sNoFastTravelScriptBlock	Fast travel is currently unavaliable from this location.
sKarmaMajorGainedImage	Interface\Icons\PipboyImages_small\Karma icons\glow_karma_saintly.dds
sSpecNameCombat	Combat
sConfirmContinue	Continue from your last saved game?
sBeardmoustache	Beard moustache light/dark
sTraitsCount	Choose up to %d Trait
sMagnitudeText	Magnitude
sLipstickdarkblue	Lipstick dark blue/light red
sStyle	Style
sFemale	Female
sComputersWelcome	Welcome to the service on SERVER1
sEquipItemOnPlayer	was equipped
sTargetTypeEquip	Equip
sUActnUse	Attack
sLoadingContentMessage	Loading extra content. Please wait.
sMenuDisplayShortXBoxSaveMessage	Saving...
sAlignVeryEvil	Very Evil
sCameraPitch	Invert Y
sNoWaitInRadiation	You cannot wait while being irradiated.
sAttributesCount	Distribute %d Point
sMagicProjectileTypeSpray	Spray
sMagicTypeLevelled	Leveled Actor Effect
sIgnoreText	Ignore
sDurationText	Duration
sAutoLoading	Autoloading...
sStatsXP	XP
sAudio	Audio
sKBNumPadComma	Pad ,
sHolidayTalesAndTallows	Tales and Tallows
sDaySaturday	Saturday
sKBF10	F10
sSkintintorange	Skin tint orange/blue
sNosesellionthin	Nose sellion thin/wide
sBloodTextureDefault	Effects\blooddecal.dds
sKBF11	F11
sLoadingLOD	Loading distant LOD...
sCantRepairPastMax	CANNOT REPAIR PAST %.0f%s
sNosetilt	Nose tilt down/up
sKBF12	F12
sTextNote	Text File
sKBF13	F13
sKarmaMajorLostImage	Interface\Icons\PipboyImages_small\Karma icons\glow_karma_evil.dds
sOfferRefused	Offer refused
sKBF14	F14
sTargetTypeDrink	Drink
sKBF15	F15
sVatsTarget	Target
sSkinflushed	Skin flushed/pale
sKBMail	Mail
sSaveGame	Save Game
sMonthNovember	November
sKBMediaStop	Stop
sKBReturn	Enter
sQuickSaving	Quicksaving...
sAlignEvil	Evil
sSaveOnTravel	Save On Travel
sKBWebStop	Web Stop
sBrightness	Brightness
sWait	wait
sRSMSex	Sex
sTargetTypeTake	Take
sPlayer	player
sInaccessible	[INACCESSIBLE]
sJoyUpLeft	Up-Left
sHackingIntro10	Uppermem: 64 KB
sKBLeft	Left
sUActnRun	Run
sEyestilt	Eyes tilt inward/outward
sHackingIntro11	Root (5A8)
sKarmicTitleGood20	Last, Best Hope of Humanity
sHeadDamagedMessage	Your head is now damaged.
sHackingIntro12	Maintenance Mode
sSplashParticles	Effects\waterSplash.NIF
sLevelUpSkillCounterPl	ASSIGN %d SKILL POINTS
sHackingIntro13	RUN DEBUG/ACCOUNTS.F
sAttributeDamaged	has been damaged
sAutoSaveDisabledDueToLackOfSpace	Save location full. Disabling Autosave.
sEyebrows	Eyebrows
sSneakCaution	[CAUTION]
